Gender,Age,Verification,Sexual_orientation,Sexual_polarity,Looking_for,Last_login,Member_since,Number_of_Comments_in_public_forum,Number_of_offline_meetings_attended,Profile_pictures,Risk,Days,Total_chat_time,Friends
male,27.3,Non_Verified,bicurious,Submisive,Men_and_Women,before_4_days,2013-11-12,13,0.0,0.0,High_risk,00,0 days 00:00:00.000000000,
male,24.9,Verified,Heterosexual,Submisive,Women,before_4_days,2013-12-14,644,0.0,0.0,High_risk,00,0 days 02:22:00.000000000,2.0
male,47.2,Non_Verified,Heterosexual,Submisive,Nobody,before_3_days,2011-03-03,222,0.0,4.0,High_risk,20,0 days 10:51:00.000000000,70.0
male,42.4,Non_Verified,bisexual,Submisive,Nobody_but_maybe,before_1_days,2014-11-04,0,0.0,0.0,High_risk,01,0 days 06:27:00.000000000,2.0
male,34.3,Non_Verified,Heterosexual,Submisive,Women,before_1_days,2015-01-04,0,0.0,5.0,High_risk,00,0 days 00:00:00.000000000,
male,36.3,Verified,Heterosexual,Submisive,Nobody_but_maybe,before_2_days,2011-01-09,187,0.0,0.0,High_risk,00,0 days 00:00:00.000000000,1.0
male,30.0,Verified,Heterosexual,Submisive,Nobody_but_maybe,before_6_days,2015-02-05,294,0.0,19.0,High_risk,00,0 days 01:44:00.000000000,
male,36.1,Non_Verified,Heterosexual,Submisive,Women,before_3_days,2015-05-24,38,0.0,0.0,High_risk,00,0 days 00:00:00.000000000,
male,34.5,Non_Verified,Heterosexual,Switch,Women,before_1_days,2015-12-19,0,0.0,1.0,High_risk,00,0 days 00:00:00.000000000,
male,46.8,Non_Verified,Heterosexual,Switch,Women,before_3_days,2016-03-01,5,0.0,11.0,High_risk,00,0 days 01:34:00.000000000,
female,23.3,Verified,Heterosexual,Dominant,Nobody_but_maybe,before_1_days,2016-07-07,9,1.0,48.0,High_risk,00,0 days 13:47:00.000000000,10.0
female,41.6,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,before_32_days,2016-07-29,8,0.0,0.0,High_risk,00,0 days 00:21:00.000000000,
male,28.6,Non_Verified,bicurious,Submisive,Women,before_3_days,2016-08-23,4,0.0,0.0,High_risk,00,0 days 00:00:00.000000000,
male,20.8,Non_Verified,bisexual,Submisive,Nobody,before_9_days,2016-03-09,0,0.0,0.0,High_risk,00,0 days 00:00:00.000000000,
male,37.7,Non_Verified,Heterosexual,Submisive,Women,before_3_days,2016-10-31,0,0.0,0.0,High_risk,00,0 days 00:00:00.000000000,
