,gender,sexuallity,age,race,bodyweight,virgin,prostitution_legal,pay_for_sex,friends,social_fear,edu_level
304,Male,Straight,29,Asian,Overweight,No,No,No,0,Yes,"Some high school, no diploma"
305,Male,Straight,18,White non-Hispanic,Normal weight,Yes,No,No,12,No,"High school graduate, diploma or the equivalent (for example: GED)"
306,Male,Straight,18,White non-Hispanic,Normal weight,Yes,Yes,No,20,Yes,"Some high school, no diploma"
307,Male,Straight,21,White non-Hispanic,Underweight,Yes,No,No,2,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
308,Male,Straight,18,Asian,Normal weight,Yes,No,No,8,No,"Some college, no degree"
309,Male,Straight,20,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,10,No,"High school graduate, diploma or the equivalent (for example: GED)"
310,Male,Straight,39,Asian,Normal weight,No,No,Yes but I haven't,10,No,"Some college, no degree"
311,Male,Straight,30,Multi,Normal weight,No,No,Yes and I have,15,No,Master’s degree
312,Male,Bisexual,19,White non-Hispanic,Overweight,Yes,No,No,1,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
313,Male,Straight,19,White non-Hispanic,Normal weight,Yes,No,No,20,No,"Some college, no degree"
314,Male,Straight,26,Asian,Normal weight,No,No,No,60,No,Bachelor’s degree
315,Male,Straight,22,White non-Hispanic,Obese,Yes,No,No,600,No,"Some college, no degree"
316,Male,Straight,23,White non-Hispanic,Underweight,Yes,No,No,0,Yes,Trade/technical/vocational training
317,Male,Straight,18,White non-Hispanic,Normal weight,Yes,Yes,No,0,Yes,"Some high school, no diploma"
318,Male,Straight,15,Hispanic (of any race),Overweight,Yes,No,Yes but I haven't,5,No,"Some high school, no diploma"
319,Male,Straight,22,White non-Hispanic,Underweight,Yes,Yes,No,1,Yes,"Some college, no degree"
320,Male,Straight,26,White non-Hispanic,Overweight,Yes,No,No,1,Yes,Bachelor’s degree
321,Male,Straight,30,White non-Hispanic,Overweight,No,No,Yes and I have,5,No,Bachelor’s degree
322,Male,Straight,38,White non-Hispanic,Overweight,No,No,Yes but I haven't,7,Yes,Trade/technical/vocational training
323,Male,Straight,22,White non-Hispanic,Overweight,Yes,No,No,10,Yes,"Some college, no degree"
324,Female,Straight,20,Black,Normal weight,Yes,No,No,2,Yes,Bachelor’s degree
325,Male,Straight,24,White non-Hispanic,Normal weight,Yes,No,No,1,Yes,"Some high school, no diploma"
326,Male,Straight,31,White non-Hispanic,Normal weight,Yes,Yes,No,30,No,Master’s degree
327,Male,Straight,20,White non-Hispanic,Normal weight,Yes,Yes,No,20,Yes,"Some college, no degree"
328,Male,Straight,21,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,2,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
329,Male,Straight,23,White non-Hispanic,Overweight,Yes,Yes,No,3,Yes,"Some college, no degree"
330,Male,Straight,20,White non-Hispanic,Normal weight,Yes,No,No,5,Yes,Associate degree
331,Female,Straight,27,Hispanic (of any race),Normal weight,Yes,No,No,3,No,Bachelor’s degree
332,Male,Straight,30,White non-Hispanic,Obese,Yes,No,No,0,No,"Some college, no degree"
333,Male,Straight,23,Asian,Overweight,No,No,Yes but I haven't,4,No,"High school graduate, diploma or the equivalent (for example: GED)"
334,Male,Straight,25,Native American mix,Overweight,Yes,No,Yes but I haven't,6,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
335,Female,Straight,22,White non-Hispanic,Normal weight,Yes,No,No,0,No,Master’s degree
336,Male,Straight,20,White non-Hispanic,Normal weight,Yes,Yes,No,6,Yes,Bachelor’s degree
337,Female,Straight,24,Hispanic (of any race),Overweight,No,No,No,10,No,Bachelor’s degree
338,Male,Straight,19,White non-Hispanic,Normal weight,Yes,No,No,10,No,"Some college, no degree"
339,Female,Bisexual,21,Hispanic (of any race),Overweight,No,No,Yes but I haven't,2,No,"Some college, no degree"
340,Male,Straight,20,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,5,No,"Some college, no degree"
341,Female,Bisexual,23,Black,Normal weight,Yes,Yes,No,3,Yes,Master’s degree
342,Male,Straight,22,White non-Hispanic,Normal weight,Yes,No,No,3,Yes,Associate degree
343,Male,Straight,18,White non-Hispanic,Overweight,Yes,Yes,No,5,Yes,"Some high school, no diploma"
344,Female,Straight,20,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,"Some college, no degree"
345,Male,Straight,23,White non-Hispanic,Normal weight,No,Yes,No,0,No,Bachelor’s degree
346,Female,Bisexual,21,Asian,Normal weight,No,No,No,0,Yes,"Some college, no degree"
347,Male,Straight,18,White non-Hispanic,Underweight,Yes,No,No,5,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
348,Female,Bisexual,20,White non-Hispanic,Normal weight,Yes,No,No,15,Yes,Bachelor’s degree
349,Male,Straight,20,Hispanic (of any race),Overweight,Yes,No,Yes but I haven't,4,Yes,"Some college, no degree"
350,Male,Straight,18,White non-Hispanic,Normal weight,Yes,No,No,3,No,"Some college, no degree"
351,Male,Straight,25,White non-Hispanic,Normal weight,No,Yes,Yes and I have,0,No,"High school graduate, diploma or the equivalent (for example: GED)"
352,Male,Straight,24,White non-Hispanic,Normal weight,No,Yes,Yes and I have,0,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
353,Female,Bisexual,20,White non-Hispanic,Obese,Yes,No,No,1,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
354,Male,Straight,22,White non-Hispanic,Normal weight,Yes,Yes,No,5,No,Trade/technical/vocational training
355,Male,Gay/Lesbian,21,White non-Hispanic,Normal weight,No,No,No,3,Yes,"Some college, no degree"
